Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
224126ca-2412-486f-8a68-0475b74f854e,"2021-01-24, 10:30:57 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,74.196.233.10
7dd97a8d-2ae0-4512-ae95-caf041136da9,"2021-01-24, 10:30:57 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,74.196.233.10
a1b4c34f-7e09-49b8-b226-e83e3ac29f21,"2021-01-24, 10:30:57 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
a797f229-acd5-48b5-8519-2420418336a0,"2021-01-24, 10:30:56 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::257587651812:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATX6LLUTSPCFQAZ6DN""}]",,us-east-1,,74.196.233.10
1ed7497e-286e-4075-8eb1-ae25a29557b2,"2021-01-24, 10:29:42 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,74.196.233.10
d47da5b1-4848-4f26-a438-d06333880056,"2021-01-24, 10:29:42 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATX6LLUTSEOJTGTZ3N""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::257587651812:group/Reviewers""}]",,us-east-1,,74.196.233.10
3d2462f5-fd8b-4c72-97cb-b8be0a6cff21,"2021-01-24, 10:29:19 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATX6LLUTSL63YSUXQL""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::257587651812:group/CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
8a3104c5-082b-4af5-b01f-7cfc92c6d8da,"2021-01-24, 10:29:19 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
c8dcbf3b-61ad-4208-bf18-25574d81a8a1,"2021-01-24, 10:29:19 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,74.196.233.10
94ad2b85-2c8c-4f18-ad70-8c0db14c95a6,"2021-01-24, 10:26:02 AM",root,UpdateAccountPasswordPolicy,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
